index,E
0,290.66883519037253
1,-72.04536684778579
2,-75.20318216781452
3,-75.72454019671423
4,-75.93628397941995
5,-76.04155268014489
6,-75.95157811906248
7,-76.14683128379562
8,-76.16223422700472
9,-76.20379815769034
10,-76.20368179828584
11,-76.25773841645017
12,-76.27496820337298
13,-76.2893377141916
14,-76.2994241143109
15,-76.29377406283301
16,-76.30838807270172
17,-76.31395770453096
18,-76.31896003670586
19,-76.32072524333702
20,-76.3282858443336
21,-76.3323085832366
22,-76.33571561288964
23,-76.33815405639814
24,-76.3405609772098
25,-76.34279634732009
26,-76.34479722008193
27,-76.34665567047506
28,-76.3479060250201
29,-76.34858315820122
30,-76.34896044110195
