system,basis,atom,dE_dx,dE_dy,dE_dz
water,cc-pvdz,0,7.777673127769644e-16,2.9090173681551336e-08,-0.025789676336900436
water,cc-pvdz,1,-1.5280603223425814e-16,-0.011707277173739539,0.012894811832539802
water,cc-pvdz,2,-6.200332428552956e-16,0.011707248083568555,0.012894864504360778
water,cc-pvtz,0,7.151379267113387e-16,-1.482323128422102e-07,-0.014682569056535533
water,cc-pvtz,1,3.9595494474872093e-16,-0.008441603610016777,0.007341253480546822
water,cc-pvtz,2,-2.8631604379262354e-16,0.008441751842326215,0.007341315575986363
water,cc-pvqz,0,2.7895103575547077e-15,1.9160328707697873e-07,-0.012970459243341836
water,cc-pvqz,1,7.912779669095679e-16,-0.008169038007258406,0.00648525657335134
water,cc-pvqz,2,-1.2778795922594367e-16,0.008168846403971357,0.006485202669994844
ethanol,cc-pvdz,0,0.010261586855104456,-0.016709921439186193,-1.3008121401567059e-05
ethanol,cc-pvdz,1,0.014180121650456956,0.01829884109111539,1.0599227593526785e-05
ethanol,cc-pvdz,2,0.0012171957390468766,0.008985196851004407,-1.1552059723218238e-05
ethanol,cc-pvdz,3,0.005111557586901776,-0.0011324260938163824,5.348404944995971e-07
ethanol,cc-pvdz,4,-0.008787846671134126,0.00257107064217626,-2.812543302230059e-06
ethanol,cc-pvdz,5,-0.004275338376391933,0.008313834634920497,-0.010204148808478228
ethanol,cc-pvdz,6,-0.0042685926257528565,0.008323889502244605,0.010227878924587147
ethanol,cc-pvdz,7,-0.006733965267333561,-0.014331735175407501,-0.014801149102015812
ethanol,cc-pvdz,8,-0.006704718890894477,-0.01431875001304515,0.01479365764224301
ethanol,cc-pvtz,0,0.007569286449448072,-0.0129612684863708,1.572698498371249e-05
ethanol,cc-pvtz,1,0.008896703396212229,0.010492478729159121,4.301088218806235e-06
ethanol,cc-pvtz,2,0.007091742493586531,0.0029881251066046777,7.427445462839229e-06
ethanol,cc-pvtz,3,0.0019047419870781073,0.0037146163785279386,3.2663998138825365e-07
ethanol,cc-pvtz,4,-0.00345410654743555,0.006008691065317139,9.019677368483406e-07
ethanol,cc-pvtz,5,-0.005002647009621154,0.004098836680716414,-0.004721869425114654
ethanol,cc-pvtz,6,-0.004991587586749549,0.004087992773453949,0.0047057488576602805
ethanol,cc-pvtz,7,-0.005995261172529955,-0.00922524645945091,-0.008766059583496895
ethanol,cc-pvtz,8,-0.0060188720099925265,-0.009204225787982644,0.008753496024576448
ethanol,cc-pvqz,0,0.0077023016604700345,-0.013025399317604158,5.054331373919538e-15
ethanol,cc-pvqz,1,0.007693554914081524,0.010499138651145046,-1.0369806057350634e-14
ethanol,cc-pvqz,2,0.007754934574615291,0.0013537061715904741,1.0574644751535964e-15
ethanol,cc-pvqz,3,0.0016270382263949834,0.00466257680098936,-1.347545229368347e-15
ethanol,cc-pvqz,4,-0.003168447725507395,0.006129639979289725,-2.7943489723201043e-16
ethanol,cc-pvqz,5,-0.0051401955155965795,0.004021528107510441,-0.004453569243842104
ethanol,cc-pvqz,6,-0.005140195515590751,0.004021528107508443,0.004453569243839883
ethanol,cc-pvqz,7,-0.005695670499917781,-0.008842997126302432,-0.00840635720427474
ethanol,cc-pvqz,8,-0.0056956704999173505,-0.008842997126298657,0.00840635720426719
ethanol,cc-pv5z,0,0.007725277564859745,-0.012989573825756828,1.2965022648735755e-14
ethanol,cc-pv5z,1,0.006411788442626909,0.010148376607446608,-1.851811472569549e-14
ethanol,cc-pv5z,2,0.008331808016956543,0.0011209431885950139,-7.855521854821654e-15
ethanol,cc-pv5z,3,0.0018026785633504794,0.004869824066638051,1.4851902101633565e-15
ethanol,cc-pv5z,4,-0.0031514863242594338,0.006121423867421316,-2.4400493087826993e-16
ethanol,cc-pv5z,5,-0.005180138554661817,0.0040512279576105925,-0.004472887006443882
ethanol,cc-pv5z,6,-0.005180138554668312,0.004051227957590164,0.004472887006473858
ethanol,cc-pv5z,7,-0.005412396357836899,-0.008698592170211183,-0.008392846265625753
ethanol,cc-pv5z,8,-0.0054123963578379605,-0.0086985921702325,0.008392846265625975
alanine_dipeptide,cc-pvdz,0,-0.0063721298118064595,-0.000924177037041396,0.0023027843108973656
alanine_dipeptide,cc-pvdz,1,0.002750335695949957,-0.0003898086490226049,0.004091925632756954
alanine_dipeptide,cc-pvdz,2,0.00016456993547286913,0.0014789851795440345,-0.012770863870153804
alanine_dipeptide,cc-pvdz,3,-0.004895995761934557,-0.0017853725596794767,-0.014811096019036185
alanine_dipeptide,cc-pvdz,4,-0.002493802614981111,0.009658977137984248,0.01620423476238564
alanine_dipeptide,cc-pvdz,5,-0.0014742596152936827,0.0009765509944035244,-0.002490398610559774
alanine_dipeptide,cc-pvdz,6,0.0007905121922742175,-0.017952168652417888,-0.009116857152580371
alanine_dipeptide,cc-pvdz,7,-0.0031054576259599287,0.007838249299338074,0.004161109392172957
alanine_dipeptide,cc-pvdz,8,0.006532409129172745,0.017362988330623885,0.0043710461678365675
alanine_dipeptide,cc-pvdz,9,0.0071021210729540485,-0.0014405222256694827,-0.0030702143622978184
alanine_dipeptide,cc-pvdz,10,-0.0036675974905592823,-0.0013921438837012357,0.009596827788151963
alanine_dipeptide,cc-pvdz,11,0.009113085886136574,0.0032556242054081475,0.001957362403819829
alanine_dipeptide,cc-pvdz,12,0.005857040792324408,-0.0061143752417294195,-0.0026086977645771864
alanine_dipeptide,cc-pvdz,13,-0.0017149724067671013,0.00024416303902810577,0.007100812960691538
alanine_dipeptide,cc-pvdz,14,0.005856051959308606,-0.006352368901315519,-0.006081894552980582
alanine_dipeptide,cc-pvdz,15,0.007762033489045361,-0.0020048603283020494,-0.0025946096877361713
