_source,_record,kind,system,basis,nao,src,xc,E,dE_vs_dftax_mha,max_grad,wall_s,path,M,steps,seed,E_grid5,grid_bias_mha,grid_converged,peak_gpu_mb,peak_train_mb,polished,vs,ckpt,mu_D,exp_mu_D,exp_kind,exp_conformer,d_exp_mD,exp_target_D,d_target_mD,homo,lumo,gap,T,rho_nuc,mad_occ_mha,dF_max,dF_vs,maxF,L1_rho,L1_floor,conv,mu_grid_vs_analytic,n_occ,n_grid,occ_mo,E_hf,E_ccsd,E_ccsd_t,L1_rho_vs_pbe,nelec,gate_L1_pbe,screen_pad,stage,gradtheta_rms,gradC_rms,dF_src,wf_kind,wf_basis,L1_rho_wf,dF_wf,L1_rho_self,dF_self,frac_cbs
exp2_observables,RESULT,gto_force,alanine_dipeptide,cc-pvdz,200,pyscf,pbe,-495.27798523,-0.04113735,0.01795217,58.00000000,experiments/exp2_observables/results/refgrad_alanine_dipeptide_cc-pvdz.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,ckpt,alanine_dipeptide,,,,,-493.82723001,,,409,experiments/exp2_observables/results/ckpt_alanine_dipeptide_M200.eqx,200,6000,0,-493.82722609,-0.00391715,True,6585,402,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,obs,alanine_dipeptide,,,,,-493.82722609,,,,,200,,,-493.82722609,0.00000000,True,,,,cc-pvqz,raw,1.89856828,nan,none,n/a,nan,nan,nan,-0.14029829,0.01556133,0.15585962,491.80204605,"112.0909,110.3439,281.1143,177.3009,111.6015,115.1968,102.3641,268.2385,174.8749,111.6945,0.4257,0.4210,0.4484,0.3733,0.4510,0.4607,0.4598,0.4436,0.4055,0.4636,0.4600,0.4662",24.60685007,nan,none,0.36858338,4.02409802,nan,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,ckpt,alanine_dipeptide,,,,,-495.40770611,,,1090,experiments/exp2_observables/results/ckpt_alanine_dipeptide_M468.eqx,468,6000,0,-495.40770538,-0.00073438,True,15404,657,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,obs,alanine_dipeptide,,,,,-495.40770538,,,,,468,,,-495.40770538,0.00000000,True,,,,cc-pvqz,raw,4.04740698,nan,none,n/a,nan,nan,nan,-0.21840143,-0.02192589,0.19647554,493.34182886,"118.8964,118.2283,286.8777,194.6643,118.4457,118.6569,118.0419,294.3739,189.0577,118.4597,0.4610,0.4541,0.4521,0.4507,0.4520,0.4483,0.4549,0.4464,0.4522,0.4634,0.4528,0.4631",2.05248123,nan,none,0.04797173,0.64516583,nan,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,ckpt,alanine_dipeptide,,,,,-495.48371866,,,4826,experiments/exp2_observables/results/ckpt_alanine_dipeptide_M910.eqx,910,6000,0,-495.48370761,-0.01105586,True,29971,1416,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,obs,alanine_dipeptide,,,,,-495.48370761,,,,,910,,,-495.48370761,0.00000000,True,,,,cc-pvqz,raw,4.10252442,nan,none,n/a,nan,nan,nan,-0.21387736,-0.03315727,0.18072009,493.47837202,"120.0764,123.3419,307.6332,199.6891,122.0057,122.0143,121.8368,305.5140,198.9431,123.0863,0.4623,0.4534,0.4530,0.4522,0.4574,0.4585,0.4593,0.4571,0.4483,0.4640,0.4592,0.4664",1.56965096,nan,none,0.04040929,0.29674798,nan,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,gto,alanine_dipeptide,cc-pvdz,200,,,-495.27794359,,,101,,,,,,,,5802,,,,,3.92548782,,,,,,,-0.19634001,-0.01819815,0.17814186,492.26764676,"120.457139,120.478364,297.304150,195.398922,120.448309,120.439449,120.487078,297.311788,195.319769,120.382863,0.374706,0.367006,0.367371,0.372049,0.373683,0.371084,0.371946,0.369092,0.369465,0.375470,0.369319,0.376230",,,,nan,,,True,0.00007628,39,652780,"-18.73154157,-18.72734797,-14.03079837,-14.02523678,-9.98830388,-9.98551072,-9.94321378,-9.92983491,-9.90448773,-9.88701578,-0.94701518,-0.94134762,-0.85414152,-0.83586136,-0.71038125,-0.66073853,-0.64667134,-0.57614597,-0.53499380,-0.52234141,-0.48262988,-0.43349202,-0.42769791,-0.41064302,-0.40562139,-0.39716480,-0.37193674,-0.36870214,-0.35476431,-0.34667986,-0.34370369,-0.33417744,-0.31928708,-0.31725483,-0.30309259,-0.22800688,-0.21907739,-0.20429950,-0.19634001",,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,gto,alanine_dipeptide,cc-pvtz,468,,,-495.43353549,,,185,,,,,,,,16551,,,,,4.06773275,,,,,,,-0.20743913,-0.03042935,0.17700978,492.26404390,"120.694240,120.703231,297.715979,195.570463,120.561894,120.697269,120.700410,297.727109,195.503699,120.674025,0.435212,0.428675,0.429158,0.426060,0.431537,0.432781,0.433977,0.430871,0.424498,0.438394,0.432171,0.437767",,,,nan,,,True,0.00008700,39,652780,"-18.72445486,-18.72028202,-14.02555185,-14.02003487,-9.98421875,-9.98263152,-9.94110129,-9.92080266,-9.89619872,-9.87834327,-0.95333310,-0.94775902,-0.86020005,-0.84164750,-0.71568268,-0.66535234,-0.65127902,-0.58105316,-0.54165310,-0.52899218,-0.48930846,-0.43961799,-0.43482108,-0.41775509,-0.41239130,-0.40380427,-0.37846710,-0.37557335,-0.36096353,-0.35567324,-0.35072897,-0.34141446,-0.32596976,-0.32440392,-0.31076397,-0.23843673,-0.22946207,-0.21576385,-0.20743913",,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,gto,alanine_dipeptide,cc-pvqz,910,,,-495.47609927,,,377,,,,,,,,32015,,,,,4.12064612,,,,,,,-0.21065174,-0.03525287,0.17539887,493.32155798,"123.575129,123.675901,304.800023,200.282149,123.546540,123.567469,123.685409,304.818031,200.222734,123.539524,0.456871,0.448893,0.449280,0.446455,0.451674,0.453531,0.455036,0.451297,0.444782,0.459349,0.452607,0.459102",,,,nan,,,True,0.00008503,39,652780,"-18.72114979,-18.71694521,-14.02267536,-14.01735311,-9.98326022,-9.98184962,-9.93967957,-9.91900004,-9.89439706,-9.87665047,-0.95550388,-0.94998429,-0.86209978,-0.84346067,-0.71719764,-0.66663425,-0.65269835,-0.58253733,-0.54374857,-0.53110792,-0.49134440,-0.44147232,-0.43682244,-0.41983127,-0.41424286,-0.40563300,-0.38039065,-0.37749545,-0.36285592,-0.35805606,-0.35272121,-0.34353124,-0.32796743,-0.32647184,-0.31303461,-0.24146190,-0.23249696,-0.21905624,-0.21065174",,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,ckpt,alanine_dipeptide,,,,,-466.85576934,,,755,experiments/exp2_observables/results/ckpt_alanine_dipeptide_M200.eqx,200,12000,0,-466.85579497,0.02563337,True,6585,1158,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,obs,alanine_dipeptide,,,,,-466.85579497,,,,,200,,,-466.85579497,0.00000000,True,,,,cc-pvqz,raw,3.13230951,nan,none,n/a,nan,nan,nan,-0.09594227,-0.06044463,0.03549764,459.75492638,"63.3031,61.4678,205.3181,157.9916,95.2966,85.8785,66.6944,191.3216,55.0918,76.7890,0.4074,0.1206,0.1420,0.1891,0.2788,0.1090,0.2870,0.2002,0.1315,0.0932,0.1050,0.0997",247.33262048,nan,none,10.98947776,22.70780537,nan,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,ckpt,alanine_dipeptide,,,,,-485.58788132,,,2100,experiments/exp2_observables/results/ckpt_alanine_dipeptide_M468.eqx,468,12000,0,-485.58789894,0.01762289,True,15404,657,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,obs,alanine_dipeptide,,,,,-485.58789894,,,,,468,,,-485.58789894,0.00000000,True,,,,cc-pvqz,raw,2.89702904,nan,none,n/a,nan,nan,nan,-0.09437857,-0.01929712,0.07508145,474.34131529,"107.6047,93.4654,237.9028,171.6063,87.0402,110.0576,84.9146,255.5085,163.2348,86.5878,0.3822,0.3994,0.3607,0.3955,0.3228,0.4146,0.3308,0.3651,0.3291,0.3321,0.3652,0.3775",147.85024434,nan,none,19.95333415,11.01099070,nan,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,gto,alanine_dipeptide,cc-pvdz,200,,,-495.27794410,,,1195,,,,,,,,80825,,,,,3.92549443,,,,,,,-0.19634008,-0.01819817,0.17814191,492.26764959,"120.457139,120.478364,297.304151,195.398922,120.448309,120.439449,120.487078,297.311789,195.319769,120.382863,0.374706,0.367006,0.367370,0.372049,0.373683,0.371084,0.371946,0.369092,0.369465,0.375470,0.369319,0.376230",,,,nan,,,True,0.00007628,39,652780,"-18.73154183,-18.72734819,-14.03079831,-14.02523670,-9.98830391,-9.98551067,-9.94321381,-9.92983495,-9.90448772,-9.88701584,-0.94701525,-0.94134769,-0.85414152,-0.83586135,-0.71038126,-0.66073854,-0.64667134,-0.57614598,-0.53499379,-0.52234139,-0.48262988,-0.43349202,-0.42769793,-0.41064303,-0.40562140,-0.39716481,-0.37193677,-0.36870218,-0.35476432,-0.34667992,-0.34370372,-0.33417748,-0.31928711,-0.31725486,-0.30309263,-0.22800691,-0.21907741,-0.20429959,-0.19634008",,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,cc,ethanol,cc-pvdz,72,,,,,,11,,,,,,,,,,,,,1.58736034,,,,,,,,,,,,,0.01944389,,,,,,,,,,-154.08955638,-154.61525393,-154.62790763,0.23591529,25.99999769,0.00073968,,,,,,,,,,,,
exp2_observables,RESULT,cc,ethanol,cc-pvtz,174,,,,,,255,,,,,,,,,,,,,1.62864578,,,,,,,,,,,,,0.01404674,,,,,,,,,,-154.13998466,-154.81743145,-154.84025892,0.25287970,25.99999721,0.00161555,,,,,,,,,,,,
exp2_observables,RESULT,cc,water,cc-pvqz,115,reconstructed-from-npz,,,,,,,,,,,,,,,,,,1.90597127,,,,,,,,,,,,,0.00495409,,,,,,,,,,-76.06479169,-76.38183051,-76.39108283,,9.99999997,,,,,,,,,,,,,
exp2_observables,RESULT,cc,water,cc-pvtz,58,reconstructed-from-npz,,,,,,,,,,,,,,,,,,1.91593957,,,,,,,,,,,,,0.00257824,,,,,,,,,,-76.05712742,-76.33799354,-76.34576822,,10.00000000,,,,,,,,,,,,,
exp2_observables,RESULT,ckpt,alanine_dipeptide,,,,,-494.73032657,,,815,experiments/exp2_observables/results/ckpt_alanine_dipeptide_M200.eqx,200,12000,0,-494.73032354,-0.00303701,True,6585,402,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00000000,,,,,,,,,,,
exp2_observables,RESULT,ckpt,alanine_dipeptide,,,,,-495.46013022,,,2768,experiments/exp2_observables/results/ckpt_alanine_dipeptide_M468.eqx,468,12000,0,-495.46010940,-0.02081617,True,15405,657,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00000000,,,,,,,,,,,
exp2_observables,RESULT,ckpt,alanine_dipeptide,,,,,-495.49513594,,,12301,experiments/exp2_observables/results/ckpt_alanine_dipeptide_M910.eqx,910,12000,0,-495.49412201,-1.01393209,False,29971,1423,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00000000,,,,,,,,,,,
exp2_observables,RESULT,ckpt,ethanol,,,,,-154.92466466,,,3243,experiments/exp2_observables/results/ckpt_ethanol.eqx,432,12000,0,-154.92053988,-4.12478283,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
