_source,_record,kind,system,M,nao,steps,seed,E,wall_s,peak_gpu_mb,E_grid5,grid_bias_mha,basis,conv
exp4_anion,RESULT,splat,f_anion,30,14,12000,0,-99.80184140,87,761,-99.80184140,-0.00000153,,
exp4_anion,RESULT,splat,f_anion,55,14,12000,0,-99.81234187,119,761,-99.81234187,0.00000307,,
exp4_anion,RESULT,splat,f_anion,30,14,12000,0,-99.80184140,87,761,-99.80184140,-0.00000153,,
exp4_anion,RESULT,splat,f_anion,30,14,12000,1,-99.79613668,91,761,-99.79613668,0.00000115,,
exp4_anion,RESULT,splat,f_anion,30,14,12000,2,-99.80090249,92,761,-99.80090250,0.00001030,,
exp4_anion,RESULT,splat,f_anion,55,14,12000,0,-99.81234187,119,761,-99.81234187,0.00000307,,
exp4_anion,RESULT,splat,f_anion,55,14,12000,1,-99.81285189,191,761,-99.81285189,0.00000470,,
exp4_anion,RESULT,splat,f_anion,55,14,12000,2,-99.81283301,191,761,-99.81283301,0.00000145,,
exp4_anion,RESULT,splat,f_anion,91,14,12000,0,-99.81322347,220,761,-99.81322347,0.00000391,,
exp4_anion,RESULT,splat,f_anion,91,14,12000,1,-99.81335314,219,761,-99.81335315,9.29e-07,,
exp4_anion,RESULT,splat,f_anion,91,14,12000,2,-99.81327219,217,761,-99.81327220,0.00000403,,
exp4_anion,RESULT,splat,oh_anion,146,19,12000,0,-75.77352091,376,531,-75.77352092,0.00001187,,
exp4_anion,RESULT,splat,oh_anion,146,19,12000,1,-75.77345494,376,531,-75.77345375,-0.00119369,,
exp4_anion,RESULT,splat,oh_anion,146,19,12000,2,-75.77334255,377,531,-75.77334257,0.00002382,,
exp4_anion,RESULT,splat,oh_anion,44,19,12000,0,-75.75412407,104,530,-75.75412406,-0.00000841,,
exp4_anion,RESULT,splat,oh_anion,44,19,12000,1,-75.75548172,103,530,-75.75548164,-0.00008005,,
exp4_anion,RESULT,splat,oh_anion,44,19,12000,2,-75.75531414,104,530,-75.75531410,-0.00004379,,
exp4_anion,RESULT,splat,oh_anion,85,19,12000,0,-75.76494174,261,531,-75.76494174,6.46e-07,,
exp4_anion,RESULT,splat,oh_anion,85,19,12000,1,-75.76647133,264,531,-75.76647078,-0.00054922,,
exp4_anion,RESULT,splat,oh_anion,85,19,12000,2,-75.76926680,264,531,-75.76920329,-0.06351245,,
exp4_anion,RESULT,splat,f_anion,14,14,15000,0,-99.16383711,97,761,-99.16383711,0.00000132,,
exp4_anion,RESULT,splat,f_anion,14,14,15000,1,-99.08275331,71,28,-99.08275331,0.00000110,,
exp4_anion,RESULT,splat,f_anion,14,14,15000,2,-98.85958129,74,28,-98.85958129,0.00000115,,
exp4_anion,RESULT,splat,oh_anion,19,19,15000,0,-75.57182083,106,530,-75.57182084,0.00000744,,
exp4_anion,RESULT,splat,oh_anion,19,19,15000,1,-75.56769845,88,70,-75.56769844,-0.00001724,,
exp4_anion,RESULT,splat,oh_anion,19,19,15000,2,-75.60533638,87,70,-75.60533639,0.00001236,,
exp4_anion,RESULT,splat,f_anion,14,14,15000,0,-99.16383711,97,761,-99.16383711,0.00000132,,
exp4_anion,RESULT,splat,f_anion,14,14,15000,1,-99.08275331,71,28,-99.08275331,0.00000110,,
exp4_anion,RESULT,splat,f_anion,14,14,15000,2,-98.85958129,74,28,-98.85958129,0.00000115,,
exp4_anion,RESULT,splat,oh_anion,19,19,15000,0,-75.57182083,106,530,-75.57182084,0.00000744,,
exp4_anion,RESULT,splat,oh_anion,19,19,15000,1,-75.56769845,88,70,-75.56769844,-0.00001724,,
exp4_anion,RESULT,splat,oh_anion,19,19,15000,2,-75.60533638,87,70,-75.60533639,0.00001236,,
exp4_anion,RESULT,splat,f_anion,14,14,15000,0,-99.16383711,97,761,-99.16383711,0.00000132,,
exp4_anion,RESULT,splat,f_anion,14,14,15000,1,-99.08275331,71,28,-99.08275331,0.00000110,,
exp4_anion,RESULT,splat,f_anion,14,14,15000,2,-98.85958129,74,28,-98.85958129,0.00000115,,
exp4_anion,RESULT,splat,oh_anion,19,19,15000,0,-75.57182083,106,530,-75.57182084,0.00000744,,
exp4_anion,RESULT,splat,oh_anion,19,19,15000,1,-75.56769845,88,70,-75.56769844,-0.00001724,,
