_source,_record,system,basis,nao,E,converged,wall_s,peak_mb,kind,mode,xc,n_iter,conv,mu_D,mu_grid_vs_analytic,step,M,steps,seed,peak_gpu_mb,E_grid5,grad_norm,E_J,lam_min,lam_max,lam_ratio,cond_V,grid_bias_mha
gto_baseline_7.log,RESULT,ethanol,cc-pv5z,603,-154.9186435473,True,32.4,135210,,,,,,,,,,,,,,,,,,,,
ladder_alanine_dipeptide_cc-pvdz_df.log,RESULT,alanine_dipeptide,cc-pvdz,200,-495.27794379,True,5.20000000,9841,gto,df,pbe,41,,,,,,,,,,,,,,,,
ladder_alanine_dipeptide_cc-pvqz_df.log,RESULT,alanine_dipeptide,cc-pvqz,910,-495.47609942,True,72.50000000,144132,gto,df,pbe,42,,,,,,,,,,,,,,,,
ladder_alanine_dipeptide_cc-pvtz_df.log,RESULT,alanine_dipeptide,cc-pvtz,468,-495.43353571,True,26.70000000,39032,gto,df,pbe,43,,,,,,,,,,,,,,,,
ladder_ethanol_cc-pvdz_df.log,RESULT,ethanol,cc-pvdz,72,-154.83811121,True,3.70000000,3415,gto,df,pbe,14,,,,,,,,,,,,,,,,
ladder_ethanol_cc-pvqz_df.log,RESULT,ethanol,cc-pvqz,345,-154.91359359,True,4.30000000,11565,gto,df,pbe,18,,,,,,,,,,,,,,,,
ladder_h2o_cc-pv5z_df.log,RESULT,h2o,cc-pv5z,201,-76.38730662,True,34.60000000,11225,gto,df,pbe,10,,,,,,,,,,,,,,,,
ladder_h2o_cc-pvdz_df.log,RESULT,h2o,cc-pvdz,24,-76.33347551,True,14.10000000,4870,gto,df,pbe,9,,,,,,,,,,,,,,,,
ladder_h2o_cc-pvqz_df.log,RESULT,h2o,cc-pvqz,115,-76.38312412,True,28.20000000,8080,gto,df,pbe,10,,,,,,,,,,,,,,,,
ladder_h2o_cc-pvtz_df.log,RESULT,h2o,cc-pvtz,58,-76.37289638,True,20.60000000,6054,gto,df,pbe,9,,,,,,,,,,,,,,,,
xcFunc48k_433524.log,RESULT,ethanol,cc-pvtz,174,-154.89869356,,,,gto,,pbe,,True,1.52534957,0.000004,,,,,,,,,,,,,
xcFunc48k_433524.log,RESULT_PARTIAL,ethanol,,,-154.67779687,,142,,splat,,,,,,,1000,174,,,,,,,,,,,
xcFunc48k_433524.log,RESULT_PARTIAL,ethanol,,,-154.83282436,,230,,splat,,,,,,,2000,174,,,,,,,,,,,
xcFunc48k_433524.log,RESULT_PARTIAL,ethanol,,,-154.87676697,,319,,splat,,,,,,,3000,174,,,,,,,,,,,
xcFunc48k_433524.log,RESULT_PARTIAL,ethanol,,,-154.88518758,,420,,splat,,,,,,,4000,174,,,,,,,,,,,
